id,YEAR,Montant achat,zip,Type
179,2012,11888.35,1000,H29
179,2013,22.79,1000,H30
180,2012,223.41,1000,H30
206,2013,4948.38,1000,H30
207,2013,4644.31,1000,H29
241,2013,563.06,1000,H30
279,2013,389.44,1000,H32
305,2013,2975.58,1000,H30
306,2013,736.93,1000,H30
311,2013,307.54,1000,H30
382,2012,1151.21,1000,H30
401,2012,7536.48,1000,H30
402,2012,1160.78,1000,H30
473,2012,652.4,1000,H30
478,2013,707.37,1000,H30
497,2013,1890.09,1000,H29
544,2013,897.84,1000,H32
545,2013,197.67,1000,H31
546,2012,1199.36,1000,H29
548,2013,1005.48,1000,H30
560,2012,347.44,1000,H29
561,2012,32.33,1000,H29
570,2013,6367.46,1000,H29
582,2012,368.24,1000,H30
598,2012,4650.16,1000,H29
599,2012,363.45,1000,H29
600,2012,340.74,1000,H29
601,2012,134.66,1000,H29
603,2012,2986.15,1000,H29
604,2012,8094.47,1000,H29
605,2012,2245.73,1000,H29
639,2012,81.45,1000,H29
640,2012,1659.82,1000,H29
641,2012,11314.04,1000,H29
642,2012,8841.3,1000,H29
677,2012,1123.21,1000,H29
678,2012,10362.24,1000,H29
720,2013,577.94,1000,H29
725,2013,2818.08,1000,H30
740,2013,104.12,1000,H30
772,2013,179.69,1000,H30
780,2013,218.87,1000,H30
789,2013,74.62,1000,H29
797,2013,1324.55,1000,H29
803,2013,2167.4,1000,H30
806,2013,2170.28,1000,H30
807,2013,274.26,1000,H30
827,2013,15068.35,1000,H29
831,2013,2391.73,1000,H29
856,2013,1769.25,1000,H30
911,2013,1247.62,1000,H30
930,2013,1046.15,1000,H30
938,2013,353.76,1000,H30
1000,2013,1661.87,1000,H30
1006,2013,5591.65,1000,H30
1029,2013,2727.32,1000,H32
1033,2013,6114.87,1000,H29
1039,2013,2186.83,1000,H30
1081,2013,7203.51,1000,H29
1086,2013,14438.63,1000,H30
1098,2013,169.69,1000,H30
1113,2013,3617.65,1000,H32
1141,2013,1397.1,1000,H30
1153,2013,183.56,1000,H29
1160,2013,7526.61,1000,H30
1174,2013,4601.91,1000,H29
1207,2013,2149.11,1000,H29
1214,2013,1678.85,1000,H30
1255,2013,2802.33,1000,H30
1257,2013,4132.22,1000,H30
1300,2013,3643.63,1000,H30
1308,2013,658.13,1000,H30
1329,2013,5232.92,1000,H30
1367,2013,3420.38,1000,H29
1386,2013,250.05,1000,H30
1446,2013,229.16,1000,E16
1450,2013,8540.55,1000,H30
1452,2013,4691.81,1000,H30
1454,2013,7077.27,1000,H30
1483,2013,2243.15,1000,H30
1517,2013,524.55,1000,H29
1559,2013,3782.1,1000,H30
1582,2013,883.29,1000,H29
1592,2013,1341.38,1000,H30
1630,2013,1433.17,1000,H30
1642,2013,45.27,1000,H30
1684,2013,5102.21,1000,H30
1725,2013,8290.79,1000,H29
1766,2013,2582.26,1000,H29
1777,2013,2773.46,1000,H30
1783,2013,5373.11,1000,H31
1803,2013,9296.7,1000,H29
1815,2013,8431.21,1000,H30
1846,2013,2126.8,1000,H29
1849,2013,9142.99,1000,H30
1874,2013,476.38,1000,H29
1895,2013,2175.31,1000,H30
